author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/306243023/;Москва;sale;flat;9;27;2;69.4;32340400;2026;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;44 м²;9,7 м²;+74951387097;Басманный; Фридриха Энгельса;56С9;Бауманская;Дом 56
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/297733877/;Москва;sale;flat;80;85;4;294.6;412440000;-1;-1;-1;-1;-1;-1;-1;+79197672046;Пресненский;Московский международный деловой центр Москва-Сити тер.;;Деловой центр;
ID 18174647;realtor;https://www.cian.ru/sale/flat/301450189/;Москва;sale;flat;26;31;5;246.7;287843564;2008;-1;-1;-1;-1;140,9 м²;28 м²;+79166462390;Очаково-Матвеевское;Нежинская ;1к1;Давыдково;Кутузовская Ривьера
VESPER;developer;https://www.cian.ru/sale/flat/286258299/;Москва;sale;flat;5;9;2;104.2;150958800;2023;-1;Монолитный;-1;Без отделки, чистовая с мебелью;-1;28 м²;+74951387184;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/308802493/;Москва;sale;flat;10;20;3;110.7;122000000;-1;-1;-1;-1;-1;65 м²;25 м²;+79856120994;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/275836899/;Москва;sale;flat;11;12;5;303.0;531254900;2014;-1;-1;-1;-1;117 м²;24 м²;+79652918238;Хамовники;Трубецкая ;12;Фрунзенская;Садовые кварталы
VESPER;developer;https://www.cian.ru/sale/flat/308762624/;Москва;sale;flat;5;21;2;110.6;108976392;2023;-1;Монолитный;-1;Чистовая, чистовая с мебелью;-1;34,6 м²;+74951347641;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/306567075/;Москва;sale;flat;2;10;3;115.0;101000000;2008;-1;-1;-1;-1;-1;45 м²;+79197672046;Тверской;Большая Грузинская ;69;Белорусская;Четыре Ветра
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/305640017/;Москва;sale;flat;3;5;5;155.0;85000000;1909;-1;-1;-1;-1;-1;50 м²;+79857943691;Арбат; Арбат;40;Смоленская;
Tekta Group;developer;https://www.cian.ru/sale/flat/301259741/;Москва;sale;flat;24;42;2;43.0;21606000;2023;-1;Монолитный;-1;Без отделки, предчистовая;15 м²;-1;+74951387129;Котловка;Севастопольский проспект;22А;Нагорная;Eniteo
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679511/;Москва;sale;flat;11;20;4;90.71;32501393;2024;-1;-1;-1;-1;48,1 м²;8,2 м²;+79652908569;Даниловский;Автозаводская ;26;Тульская;FORST
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/307823693/;Москва;sale;flat;11;15;4;103.7;50000000;1953;-1;-1;-1;-1;-1;-1;+79651509137;Замоскворечье;Валовая ;6;Павелецкая;
Главстрой;developer;https://www.cian.ru/sale/flat/306076580/;Москва;sale;flat;4;22;2;67.1;28625560;2024;-1;Монолитно-кирпичный;-1;Без отделки;21,5 м²;22,3 м²;+74951379308;Филевский парк;Береговой проезд;2;Фили;Береговой-2
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/308629847/;Москва;sale;flat;26;41;2;46.0;20950000;-1;-1;-1;-1;-1;24 м²;17 м²;+79854281089;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
Елена Подстрешная;realtor;https://www.cian.ru/sale/flat/308858083/;Москва;sale;flat;3;28;4;133.2;41500000;2021;-1;-1;-1;-1;80 м²;33 м²;+79165339960;Филевский парк;Береговой проезд;1Б;Шелепиха;мой адрес На Береговом
VESPER;developer;https://www.cian.ru/sale/flat/308803465/;Москва;sale;flat;1;6;2;173.3;363930000;2027;-1;-1;-1;Чистовая с мебелью;-1;-1;+74951346294;Пресненский;Трехпрудный переулок;9С2;Пушкинская;Клубный дом Левенсон
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/308710833/;Москва;sale;flat;3;10;4;180.0;212000000;2024;-1;-1;-1;Чистовая;-1;25 м²;+79623610548;Дорогомилово;;3к1;Парк Победы;Виктори Парк Резиденсез ЖК
