author_type,url,floor,floors_count,rooms_count,total_meters,price,underground
developer,https://www.cian.ru/sale/flat/307211222/,8,9,1,57.6,117936000.0,Маяковская
real_estate_agent,https://www.cian.ru/sale/flat/299890518/,9,40,1,41.5,32000000.0,ЦСКА
real_estate_agent,https://www.cian.ru/sale/flat/308789447/,11,12,1,33.5,8000000.0,Улица Академика Янгеля
developer,https://www.cian.ru/sale/flat/306341785/,2,12,1,83.3,172590000.0,Фрунзенская
real_estate_agent,https://www.cian.ru/sale/flat/301550653/,13,41,1,41.5,31000000.0,Аэропорт
real_estate_agent,https://www.cian.ru/sale/flat/309028428/,9,14,1,38.5,7000000.0,Зеленоград — Крюково
developer,https://www.cian.ru/sale/flat/296921064/,2,16,1,45.0,23274675.0,Фили
real_estate_agent,https://www.cian.ru/sale/flat/303027445/,3,20,1,59.0,61800000.0,Улица 1905 года
realtor,https://www.cian.ru/sale/flat/285374995/,6,6,1,29.5,6199999.0,Первомайская
developer,https://www.cian.ru/sale/flat/305778449/,3,26,1,23.9,22602971.0,Павелецкая
real_estate_agent,https://www.cian.ru/sale/flat/307810501/,75,95,1,57.0,47000000.0,Деловой центр
real_estate_agent,https://www.cian.ru/sale/flat/308103967/,2,2,1,34.5,6400000.0,Перерва
developer,https://www.cian.ru/sale/flat/306541560/,5,21,1,65.9,82172522.0,Улица 1905 года
realtor,https://www.cian.ru/sale/flat/307205775/,4,6,1,59.35,101785250.0,Кузнецкий мост
real_estate_agent,https://www.cian.ru/sale/flat/280751407/,4,7,1,33.56,5600000.0,Рассказовка
developer,https://www.cian.ru/sale/flat/300288204/,5,49,1,39.39,19017492.0,Дмитровская
realtor,https://www.cian.ru/sale/flat/308082096/,12,16,1,44.0,26296000.0,Минская
real_estate_agent,https://www.cian.ru/sale/flat/309080516/,7,12,1,35.0,8300000.0,Юго-Восточная
real_estate_agent,https://www.cian.ru/sale/flat/305679592/,7,20,1,43.09,20252300.0,Тульская
real_estate_agent,https://www.cian.ru/sale/flat/288041113/,3,6,1,18.0,4650000.0,Южная
developer,https://www.cian.ru/sale/flat/306243017/,2,27,1,45.7,21798900.0,Бауманская
realtor,https://www.cian.ru/sale/flat/308833375/,15,28,1,40.0,30500000.0,Раменки
realtor,https://www.cian.ru/sale/flat/308257166/,2,5,1,30.0,7400000.0,Филатов Луг
developer,https://www.cian.ru/sale/flat/293713671/,2,14,1,72.6,139410000.0,Полянка
real_estate_agent,https://www.cian.ru/sale/flat/307494611/,2,44,1,48.1,25000000.0,Улица 1905 года
real_estate_agent,https://www.cian.ru/sale/flat/309057769/,3,15,1,33.0,9350000.0,Потапово
developer,https://www.cian.ru/sale/flat/298147602/,7,13,1,58.8,37642247.0,Тульская
developer,https://www.cian.ru/sale/flat/307960600/,2,27,1,40.1,13488048.0,Трикотажная
real_estate_agent,https://www.cian.ru/sale/flat/300812067/,8,17,1,36.2,27000000.0,Маяковская
developer,https://www.cian.ru/sale/flat/306745450/,7,9,1,34.1,6705550.0,Толстопальцево
developer,https://www.cian.ru/sale/flat/307338731/,4,12,1,39.5,18884950.0,Беломорская
real_estate_agent,https://www.cian.ru/sale/flat/299010726/,4,4,1,37.0,37400000.0,Кузнецкий мост
realtor,https://www.cian.ru/sale/flat/286538689/,9,11,1,46.1,8800000.0,Крёкшино
developer,https://www.cian.ru/sale/flat/300878920/,10,12,1,34.4,19372498.0,Преображенская площадь
real_estate_agent,https://www.cian.ru/sale/flat/308550093/,9,23,1,31.9,17900000.0,Народное Ополчение
developer,https://www.cian.ru/sale/flat/306743329/,2,24,1,34.0,8928743.0,Новомосковская
